lat,lon,elev,desc
9981005.695,282763.928,2024.224,p.p
9980992.135,282781.467,2024.722,fc
9980994.149,282782.222,2024.751,dr
9980994.4,282782.421,2024.563,dr
9980994.587,282782.568,2024.619,dr
9980995.359,282782.945,2024.887,rd
9980999.008,282786.237,2024.957,dr
9980999.303,282785.002,2024.676,dr
9980999.059,282784.915,2024.754,dr
9980998.607,282784.581,2024.945,rr
9980997.538,282782.896,2025.064,cl
9981003.193,282780.689,2024.848,dr
9981002.943,282780.139,2024.531,dr
9981002.764,282779.857,2024.619,dr
9981002.41,282779.449,2024.796,rd
9981002.154,282776.665,2024.889,cl
9980999.097,282774.649,2024.416,dr
9980999.756,282774.882,2024.376,dr
9981000.717,282775.573,2024.69,rd
9981000.178,282775.251,2024.504,dr
9981001.895,282770.641,2024.504,dr
9981002.454,282771.005,2024.229,dr
9981002.462,282771.079,2024.289,dr
9981003.017,282771.53,2024.41,rd
9981005.335,282772.694,2024.789,cl
9981010.24,282770.848,2024.562,dr
9981009.919,282770.585,2024.302,dr
9981009.656,282770.351,2024.416,dr
9981009.148,282770.067,2024.625,rd
9981008.102,282762.529,2024.272,dr
9981008.531,282762.906,2024.116,dr
9981008.93,282763.114,2024.21,dr
9981009.691,282763.489,2024.458,rd
9981011.241,282764.165,2024.667,cl
9981018.816,282759.345,2024.466,dr
9981018.117,282758.996,2024.262,dr
9981017.853,282758.735,2024.405,dr
9981017.43,282758.4,2024.592,rd
9981016.781,282756.408,2024.692,cl
9981017.742,282749.582,2024.297,dr
9981018.17,282749.726,2024.04,dr
9981018.5,282749.933,2024.212,dr
9981019.102,282750.027,2024.388,rd
9981025.541,282749.852,2024.619,dr
9981025.256,282749.61,2024.213,dr
9981024.945,282749.393,2024.407,dr
9981024.77,282748.994,2024.503,rd
9981023.269,282748.218,2024.687,cl
9981032.031,282741.53,2024.561,dr
9981031.62,282741.362,2024.107,dr
9981030.973,282740.975,2024.491,dr
9981030.388,282742.281,2024.226,rd
9981029.883,282742.035,2024.459,rd
9981025.294,282739.182,2023.943,dr
9981026.141,282739.468,2023.792,dr
9981026.458,282739.783,2023.935,dr
9981026.903,282740.17,2024.164,rd
9981026.767,282740.09,2024.016,dr
9981028.771,282741.015,2024.357,cl
9981032.791,282735.3,2024.413,cl
9981035.573,282737.21,2024.487,dr
9981035.288,282736.782,2024.163,dr
9981034.783,282736.581,2024.277,dr
9981034.373,282735.989,2024.487,rd
9981030.277,282732.756,2024.117,dr
9981030.442,282732.898,2024.04,dr
9981030.698,282733.05,2024.243,dr
9981031.623,282733.674,2024.627,rd
9980961.984,282732.119,2019.451,fc
9980922.26,282677.075,2012.792,sh
9980920.478,282674.991,2011.467,sh
9980918.59,282675.528,2011.145,sh
9980918.989,282677.004,2011.577,sh
9980917.336,282677.437,2011.484,sh
9980917.468,282681.618,2012.577,sh
9980916.342,282681.792,2012.317,fc
9980916.299,282680.714,2012.201,stp
9980916.335,282680.627,2012.042,stp
9980917.101,282680.011,2012.077,stp
9980917.116,282680.007,2012.228,stp
9980916.819,282679.692,2011.993,stp
9980916.681,282679.673,2011.828,stp
9980916.029,282680.331,2011.771,stp
9980916.002,282680.307,2011.936,stp
9980916.571,282679.302,2011.726,stp
9980915.779,282680.053,2011.695,stp
9980916.33,282678.968,2011.547,stp
9980915.601,282679.757,2011.563,stp
9980915.328,282679.379,2011.371,stp
9980916.074,282678.607,2011.339,stp
9980914.758,282678.658,2010.973,stp
9980915.419,282677.865,2011.021,stp
9980915.092,282677.595,2010.757,stp
9980914.454,282678.406,2010.719,stp
9980914.171,282678.034,2010.528,stp
9980914.906,282677.283,2010.505,stp
9980914.669,282677.056,2010.298,stp
9980914.027,282677.722,2010.284,stp
9980913.832,282677.491,2010.093,stp
9980914.497,282676.758,2010.128,stp
9980914.224,282676.561,2009.932,stp
9980913.532,282677.245,2009.881,stp
9980913.261,282676.922,2009.646,stp
9980913.582,282677.13,2009.742,stp
9980914.96,282675.76,2009.801,stp
9980914.28,282675.374,2009.637,stp
9980913.881,282675.901,2009.426,stp
9980914.4,282675.289,2009.458,stp
9980911.477,282675.395,2007.894,sh
9980912.05,282674.68,2007.842,stp
9980912.692,282673.975,2008.031,stp
9980913.075,282674.272,2008.351,stp
9980912.578,282675.087,2008.421,stp
9980912.956,282675.246,2008.743,stp
9980913.412,282674.33,2008.681,stp
9980913.805,282674.695,2009.012,stp
9980911.992,282676.747,2008.587,fc
9980914.126,282666.295,2006.848,fc
9980913.966,282667.314,2006.88,sh
9980914.259,282671.703,2007.704,sh
9980913.775,282673.661,2008.417,sh
9980915.352,282673.497,2009.171,sh
9980914.786,282675.083,2009.608,sh
9980916.528,282675.496,2010.243,sh
9980918.024,282674.072,2010.107,sh
9980916.726,282672.296,2008.972,sh
9980918.195,282672.781,2009.579,sh
9980917.543,282668.92,2008.005,sh
9980917.208,282666.883,2007.525,sh
9980918.258,282668,2008.06,sh
9980918.643,282670.202,2008.694,stp
9980918.02,282670.633,2008.699,stp
9980918.267,282670.885,2008.829,stp
9980919.026,282670.396,2008.845,stp
9980919.127,282670.545,2008.996,stp
9980918.406,282671.26,2009.016,stp
9980920.442,282671.426,2009.138,stp
9980920.458,282670.543,2009.188,stp
9980928.08,282664.656,2010.562,stp
9980927.638,282664.004,2010.47,stp
9980930.281,282662.259,2010.834,stp
9980929.749,282661.898,2010.719,stp
9980927.131,282660.866,2008.371,sh
9980923.182,282661.212,2006.837,sh
9980922.317,282658.975,2006.012,fc
9980924.958,282658.838,2007.036,fc
9980926.015,282658.996,2007.262,sh
9980925.553,282660.992,2007.407,sh
9980928.391,282659.629,2008.892,sh
9980928.044,282661.354,2009.003,sh
9980928.56,282661.743,2009.677,sh
9980929.515,282660.796,2010.41,sh
9980931.161,282662.318,2011.955,sh
9980930.689,282662.019,2011.186,stp
9980930.468,282662.335,2011.011,stp
9980929.771,282661.774,2010.927,stp
9980929.916,282661.607,2011.028,stp
9980931.075,282661.399,2011.584,stp
9980930.888,282661.78,2011.359,stp
9980930.335,282661.093,2011.298,stp
9980930.172,282661.35,2011.256,stp
9980931.213,282661.306,2011.666,stp
9980930.615,282660.791,2011.52,stp
9980933.021,282659.359,2012.374,stp
9980932.34,282658.858,2012.258,stp
9980932.06,282659.231,2012.288,stp
9980932.753,282659.831,2012.268,stp
9980932.692,282659.815,2012.263,sh
9980933.096,282659.373,2012.37,sh
9980932.388,282658.813,2012.184,sh
9980934.211,282655.326,2011.594,sh
9980933.563,282653.291,2010.694,fc
9980938.405,282647.036,2011.204,fc
9980941.83,282633.266,2011.02,fc
9980940.686,282626.152,2010.353,fc
9980946.267,282612.822,2011.241,sh
9980943.782,282611.298,2010.093,fc
9980929.042,282548.508,2004.449,fc
9980926.985,282536.045,2003.873,fc
9980929.456,282534.376,2004.333,sh
9980928.335,282531.139,2004.284,sh
9980929.389,282526.3,2004.749,crn
9980930.735,282529.978,2004.354,sh
9980931.916,282532.522,2004.649,sh
9980932.906,282535.97,2004.736,sh
9980932.682,282539.838,2004.519,sh
9980930.906,282539.25,2004.332,sh
9980929.899,282537.44,2004.266,sh
9980927.531,282537.717,2003.877,sh
9980929.881,282542.039,2004.132,sh
9980928.361,282542.854,2003.897,sh
9980928.65,282546.465,2004.28,sh
9980932.148,282548.917,2004.608,sh
9980929.652,282550.18,2004.301,sh
9980932.648,282554.782,2004.351,sh
9980935.805,282553.652,2004.687,sh
9980939.849,282553.223,2006.033,sh
9980941.806,282558.072,2006.408,sh
9980941.36,282556.28,2006.28,sh
9980939.588,282557.271,2005.656,sh
9980936.703,282558.68,2004.746,sh
9980933.681,282559.812,2004.492,sh
9980935.211,282563.492,2004.484,sh
9980937.942,282562.435,2005.012,sh
9980938.574,282564.546,2005.11,sh
9980942.095,282564.205,2006.694,sh
9980940.886,282562.75,2006.123,sh
9980942.698,282562.217,2006.864,sh
9980944.23,282561.523,2007.34,sh
9980945.346,282564.134,2007.826,sh
9980944.752,282567.971,2007.553,sh
9980947.166,282567.565,2007.859,sh
9980945.597,282566.147,2007.861,sh
9980941.459,282567.534,2006.359,sh
9980939.273,282568.717,2005.296,sh
9980937.809,282569.791,2004.824,sh
9980938.946,282572.909,2004.922,sh
9980942.174,282571.971,2006.005,sh
9980945.456,282571.621,2006.584,sh
9980948.264,282572.14,2006.528,sh
9980950.192,282575.417,2006.327,sh
9980947.281,282576.462,2006.005,sh
9980945.062,282576.792,2005.494,sh
9980944.168,282575.614,2005.516,sh
9980940.453,282576.735,2004.651,fc
9980941.031,282578.342,2004.802,fc
9980941.924,282579.463,2005.33,sh
9980945.012,282579.492,2006.006,sh
9980944.768,282583.113,2007.181,sh
9980941.906,282583.364,2006.975,sh
9980947.467,282577.969,2006.083,sh
9980950.672,282577.452,2006.368,sh
9980952.761,282580.42,2007.462,sh
9980950.464,282581.454,2007.076,sh
9980947.79,282582.918,2007.091,sh
9980944.817,282584.94,2007.627,sh
9980941.658,282585.598,2007.586,sh
9980941.816,282589.799,2008.485,sh
9980943.989,282590.008,2008.672,sh
9980948.064,282589.195,2008.244,sh
9980947.734,282585.961,2007.615,sh
9980949.836,282585.767,2007.913,sh
9980954.876,282584.099,2008.381,sh
9980956.782,282589.572,2008.956,sh
9980951.738,282591.999,2008.965,sh
9980947.453,282593.278,2009.11,sh
9980942.614,282597.06,2009.311,sh
9980946.432,282597.794,2009.681,sh
9980966.936,282610.459,2013.927,fc
9980947.237,282600.683,2010.106,sh
9980947.131,282602.585,2010.187,ktch
0,0,0,
9980998.381,282753.512,2023.692,ktch
9981003.533,282761.521,2024.019,cable 1
9980943.307,282604.063,2009.737,sh
9980944.646,282608.11,2010.058,sh
9980947.75,282606.227,2010.552,sh
9980950.821,282604.09,2011.296,sh
9980955.116,282600.455,2011.414,sh
9980960.048,282597.818,2011.561,sh
9980961.578,282600.639,2011.927,sh
9980958.407,282606.177,2012.163,sh
9980958.099,282610.08,2012.434,sh
9980953.278,282608.965,2011.855,sh
9980950.815,282612.505,2011.868,sh
9980945.431,282613.137,2011.191,sh
9980942.102,282619.296,2010.934,sh
9980945.933,282622.821,2011.72,sh
9980950.144,282623.004,2012.341,sh
9980956.712,282619.568,2013.033,sh
9980961.731,282617.25,2013.63,sh
9980961.474,282612.316,2013.07,sh
9980965.283,282608.077,2013.251,sh
9980968.204,282613.418,2014.075,sh
9980964.623,282618.428,2014.101,sh
9980969.044,282616.6,2014.102,sh
9980970.239,282619.05,2014.459,sh
9980971.257,282622.177,2014.738,sh
9980972.009,282625.776,2015.092,sh
9980970.277,282627.225,2014.78,sh
9980965.707,282625.689,2014.464,sh
9980960.703,282624.698,2013.907,sh
9980958.785,282629.953,2013.757,sh
9980963.566,282632.105,2014.288,sh
9980967.479,282633.987,2014.777,sh
9980966.033,282636.487,2014.712,sh
9980963.535,282639.943,2014.599,sh
9980962.333,282638.512,2014.302,sh
9980960.077,282637.424,2014.201,tr
9980959.454,282638.32,2013.792,sh
9980955.54,282634.764,2013.407,sh
9980953.43,282633.877,2012.794,sh
9980949.066,282632.176,2012.252,sh
9980943.963,282631.521,2011.807,sh
9980942.805,282638.181,2012.059,sh
9980949.553,282640.054,2012.711,sh
9980951.221,282640.824,2013.175,sh
9980955.757,282643.013,2013.727,sh
9980959.426,282645.47,2014.436,sh
9980956.183,282650.477,2014.548,sh
9980951.314,282650.018,2013.883,sh
9980948.514,282648.64,2013.403,sh
9980945.15,282646.077,2012.91,sh
9980942.046,282645.443,2012.702,sh
9980939.934,282649.694,2012.488,sh
9980944.067,282652.381,2013.155,sh
9980946.417,282655.19,2013.683,sh
9980943.774,282658.57,2013.524,sh
9980940.359,282655.738,2012.854,sh
9980937.071,282653.87,2012.158,sh
9980934.791,282656.82,2012.408,sh
9980938.235,282659.039,2013.12,sh
9980941.733,282661.163,2013.492,sh
9980939.526,282664.242,2013.708,sh
9980937.151,282662.654,2013.317,sh
9980933.442,282661.506,2012.64,sh
9980931.835,282664.858,2012.907,sh
9980935.981,282668.271,2013.789,sh
9980934.033,282671.302,2013.75,sh
9980931.278,282670.124,2013.213,sh
9980928.029,282668.769,2012.455,sh
9980928.032,282669.443,2012.617,sh
9980926.481,282671.45,2012.316,sh
9980929.087,282674.334,2013.141,sh
9980926.996,282676.899,2013.319,sh
9980923.675,282675.152,2012.694,sh
9980916.561,282682.114,2012.494,sh
9980919.719,282679.605,2012.759,sh
9980922.036,282676.939,2012.832,sh
9980923.257,282678.386,2013.079,sh
9980920.792,282681.035,2012.953,sh
9980918.655,282684.413,2013.079,sh
9980920.343,282684.715,2013.44,sh
9980923.795,282689.942,2014.07,sh
9980925.931,282688.307,2014.2,sh
9980923.775,282686.319,2013.991,sh
9980925.74,282683.962,2014.003,sh
9980929.486,282685.913,2014.37,sh
9980931.137,282682.881,2014.382,sh
9980929.353,282680.117,2014.116,sh
9980931.109,282678.061,2014.113,sh
9980934.1,282679.874,2014.581,sh
9980935.73,282677.294,2014.491,sh
9980933.103,282675.245,2014.093,sh
9980934.796,282672.676,2014.085,sh
9980938.267,282674.421,2014.537,sh
9980939.447,282671.473,2014.378,sh
9980937.097,282669.679,2014.068,sh
9980938.138,282666.88,2013.838,sh
9980938.401,282667.159,2014.011,sh
9980941.418,282669.526,2014.346,sh
9980943.449,282666.592,2014.327,sh
9980940.737,282663.529,2013.756,sh
9980941.013,282663.739,2013.981,sh
9980943.04,282660.473,2013.591,sh
9980943.382,282660.835,2013.851,sh
9980944.681,282661.764,2014.01,sh
9980947.667,282664.308,2014.538,sh
9980950.599,282661.632,2014.585,sh
9980947.917,282659.754,2014.094,sh
9980950.722,282657.117,2014.464,sh
9980954.571,282659.015,2015.109,sh
9980957.092,282656.729,2015.256,sh
9980954.119,282653.451,2014.477,sh
9980958.436,282646.856,2014.349,sh
9980956.222,282650.819,2014.579,sh
9980956.781,282651.269,2014.891,sh
9980958.915,282653.954,2015.156,sh
