slope,distance_to_water,soil_suitability,suitable
15.35,1528.67,10,1
14.03,557.21,5,1
20.14,486.11,6,1
17.65,4647,4,0
1.19,2638.4,5,1
23.46,3137.37,5,1
26.45,1783,5,0
0.21,2347.26,4,0
3.82,2325.11,5,1
9.39,305.06,4,1
9.94,288.39,5,1
12.08,913.21,6,1
11.24,766.74,4,1
11.52,664.39,6,1
14.29,732.18,5,1
0.96,1732.1,5,1
23.93,538.4,2,0
12.67,2518.96,6,1
13.36,4687.61,5,0
19.11,3515.07,8,1
14.51,1446.79,6,1
13.86,216.4,3,0
9.96,1353.34,8,1
8.66,1671.13,3,1
15.87,447.94,4,1
11.37,665.72,8,1
5.95,2703.98,8,1
10.22,1804.2,7,1
11.43,337.27,7,1
18.32,2425.51,6,1
4.07,536.91,4,1
11.33,389.85,3,1
9.58,1834.78,6,1
18.13,336.69,3,1
8.13,893.69,8,1
14.68,457.56,7,1
11.31,724.11,3,1
3.96,1626.59,4,1
8.97,597.52,5,1
18.31,591.43,6,1
11.21,1726.82,4,1
7.9,3224.26,4,0
9.51,1906.94,3,0
20.03,2286.94,6,1
7.92,1200.13,5,0
15.09,3870.74,1,0
15.04,426.18,6,1
12.06,1139.92,7,1
12.48,676.52,10,1
25.44,1939.98,7,1
9.37,1047.25,7,1
36.23,4831.71,7,0
24.5,1303.39,8,1
9.4,693.43,4,1
22.83,2294.45,4,0
8.1,3120.93,3,0
6.4,1418.15,3,1
22.11,996,5,1
10.01,1131.97,4,0
15.57,2256.4,10,1
33,2008.14,9,1
5.18,2730.91,5,1
5.47,3110.29,6,1
18.05,1074.62,4,1
17.57,3503.71,3,0
16.68,1754.03,5,1
14.65,1069.05,7,1
9.18,583.24,6,1
4.4,4366.05,9,1
6.58,2529.57,1,0
5.1,3385.86,5,1
3.89,1905.77,3,1
15.82,1659.17,6,1
10.97,1841.31,5,0
13.22,654.81,10,1
7.52,2434.59,7,1
3.07,2265.72,2,0
24.84,2196.06,6,1
18.13,470.73,7,1
2,1792.84,9,1
18.74,1625.94,5,0
22.07,2447.46,7,1
19.69,994.14,9,1
13.34,1074.71,7,1
22.45,3808,6,1
9.16,5000,6,1
5.05,1194.85,6,1
10.65,566.38,6,1
9.04,790.58,6,1
21.55,2200.74,6,1
16.27,2348.03,4,1
14.6,1193.5,1,0
11.81,3567.29,5,0
21.14,1212.3,4,0
20.8,1901.42,8,1
4.13,632.37,8,1
10.44,1694.73,2,0
14.4,1131.67,4,1
7.84,1641.02,7,1
17.16,3480.09,3,0
7.72,433.66,8,1
9.08,2320.84,9,1
11.26,937.17,7,1
11.38,396.89,5,1
6.7,1427.88,5,1
24.5,377.53,4,1
9.98,2295.03,6,1
2.78,2755.36,2,0
27.27,1990.58,7,0
12.11,2129.01,2,0
7.8,3354.41,8,1
7.28,1465.75,5,1
16.7,1457.89,4,0
36.27,1262.98,9,1
18.46,2837.6,7,1
7.84,890.14,5,1
18.33,815.16,3,0
22.02,913.87,5,1
17.72,1413.26,6,1
2.07,1506.21,5,1
8.85,394.28,1,0
10.7,1445.6,6,1
11.74,3778.18,8,1
17.75,2302.02,6,0
20.41,2641.45,4,1
3.6,3707.54,3,0
3.02,769.24,7,1
16.47,4440.41,10,1
17.22,338.44,5,1
8.49,1673.02,5,1
15.4,4313.93,5,0
6.38,1549.79,4,1
11.91,1212.95,5,1
7.84,2775.14,4,1
20.62,3200.44,3,1
2.92,895.17,5,1
13.09,959.12,10,1
7.13,280.49,7,1
14.56,2929.56,5,1
10.23,5000,4,0
23.54,2409.82,1,0
18.53,730,6,1
20.35,2833.52,5,1
6.38,2365.49,2,1
19.19,1947.84,5,1
30.16,1463.04,6,0
11.74,571.79,5,1
15.69,105.34,5,1
12.61,1500.42,3,0
2.61,913.61,8,1
8.91,524.68,2,1
15.91,2346.35,2,0
18.32,495.65,7,1
5.8,2649.94,6,1
24.01,360.73,6,1
2.23,2033.7,7,1
4.53,2158.66,6,1
12.18,2787.65,5,0
11.94,889.74,9,1
3.49,1991.78,7,1
25.96,640.39,6,1
17.2,1243.6,4,1
13.69,1384.47,7,1
7.22,1032.51,5,1
24.42,3382.03,4,0
8.44,4371.24,7,1
1.65,3471.71,4,1
8.78,3617.79,10,1
31.31,768.86,5,1
11.48,234.56,5,1
10.35,1849.45,1,0
23.65,2147.5,2,0
12.61,1640.7,5,1
20.8,1623.91,5,1
8.17,1715.53,5,1
16.22,280.58,8,1
13.83,2613.75,2,0
1.54,1637.78,6,1
9.55,2845.19,6,1
25.4,1545.11,5,1
21.98,2335.38,5,1
11.43,967.56,2,1
16.5,974.89,4,1
5.3,1273.39,8,1
13.8,3951.77,6,0
8.11,802.8,8,1
7.85,119.02,5,1
12.93,1951.51,2,0
15.87,2438.31,6,1
31.49,3585.62,5,0
15.87,4149.24,7,1
8.43,525.22,5,1
14.61,995.02,5,1
11.88,1515.42,2,1
15.48,2116.82,6,1
10.85,2842.76,8,1
18.33,3053.34,6,1
12.25,1262.77,7,1
6.95,4368.43,1,0
4,336.93,2,0
31.11,738.23,9,1
15.46,2419.32,6,1
6.17,261.05,3,1
18.66,3064.66,5,0
5.97,1451.46,5,1
26.74,1001.48,2,0
5.29,412.18,6,1
11.27,908.19,5,0
20.48,1356.68,4,1
17.47,2455.3,8,1
12.26,2018.85,5,1
10.25,562.9,7,1
16.18,315.68,4,0
18.74,3683.15,6,1
4.27,3611.5,4,0
3.68,3738.97,4,1
25.19,1897.9,10,1
4.55,773.2,2,0
12.02,108.2,3,1
11.55,599.7,6,1
1.89,5000,7,1
11.84,1673.95,1,0
11.39,2396.13,4,1
22.06,4361.11,5,1
8.68,598.12,5,1
17.19,1074.43,1,0
8.66,1285.52,4,1
16.04,1347.65,4,0
17.85,1337,8,1
22.91,1345.34,10,1
4.44,2293.39,3,1
23.5,1624.87,7,1
9.04,596.16,5,1
24.05,1041.42,5,1
4.38,1715,5,1
9.6,5000,6,0
23.24,835.84,4,0
4.74,1753.16,5,0
23.28,3128.88,10,1
6.32,2380.12,8,1
14.46,1298.35,5,1
22.61,1048.2,9,1
17.04,3361.87,9,1
16.92,1499.83,8,1
18.41,1143.76,7,1
22.28,4658.03,5,1
15.34,758.41,7,1
11.84,2178.74,5,0
3.11,1484.74,4,1
2.04,2367.92,4,1
14.74,1461.78,6,1
5.36,2350.38,5,1
5.16,2536.51,4,1
14.02,1245.85,8,1
3.94,875.82,1,1
25.27,534.82,5,0
7.86,1310.92,2,1
20.43,1037.25,9,1
15.91,5000,4,1
14.09,731.62,5,1
15.2,227.43,5,1
4.87,1034.66,5,1
22.48,536.16,4,1
11.66,844.66,7,1
7.38,1546.21,3,1
18.93,1377.37,4,0
12.48,2895.13,7,1
24.57,607.63,6,1
2.12,3019.49,7,1
16.38,1667.3,6,1
24.43,2180.52,8,0
17,1931.89,2,0
8.11,1138.21,4,1
17.04,2228.49,7,1
19.19,3384.44,10,1
14.46,1230.08,3,1
6.86,2211.94,5,1
9.99,1258.34,7,1
10,3210.12,2,0
30.65,2658.89,8,1
4.95,921.81,5,1
9.98,2205.57,2,0
10.48,876.48,4,1
34.14,700.2,6,1
11.94,487.82,7,1
5.33,560.53,3,1
21.51,1485.83,4,1
11.9,3030.2,3,0
8.31,827.9,2,1
17.23,4004.56,7,1
17.39,674.64,5,1
15.73,2716.77,4,1
6.77,1768.49,5,1
35.9,2223.67,7,1
4.61,522.2,3,1
11.52,940.06,8,1
9.41,928.68,1,0
9.64,330.02,9,1
27.59,4679.13,2,0
9.02,2825.37,1,0
18.36,474.45,5,1
11.52,756.55,1,0
23.86,3171.51,1,0
6.17,915.68,4,1
28.18,2632.76,4,0
13.17,1479.26,6,1
30.28,494.19,4,1
21.18,276.29,10,1
4.76,2741.08,9,1
12.12,2635.07,5,0
14.94,1296.2,4,1
14.6,1385.9,6,1
13.48,3210.17,8,1
9.64,2648.03,10,1
12.91,1950.07,3,0
12.88,1512.52,3,0
15.58,2482.76,3,0
10.39,614.5,5,1
6.23,1317.93,5,1
2.02,287.92,4,1
7.85,673.35,6,1
17.27,2595.42,1,0
4.63,450.2,6,1
18.38,3619.3,5,1
9.54,3303.83,6,1
9.32,378.45,5,1
15.75,211.68,4,1
6.39,1186.88,5,1
0.75,655.5,5,1
15.7,2119.73,8,1
27.73,2941.19,6,1
3.78,123.16,5,1
11.37,2247.41,9,1
10.53,3856.74,1,0
10.27,2184.55,2,0
5.98,2479.04,4,1
20.06,3889.95,5,1
10.53,1003.62,5,1
26.73,482.81,3,0
4.88,361.41,6,1
19.24,780.55,6,1
3.03,1371.86,4,1
3.73,1432.08,1,0
3.85,1060.41,5,1
9.08,2416.7,5,1
7.27,1691.9,6,1
1.16,388.29,9,1
10.2,593.42,4,1
10.22,396.65,6,1
30.1,1055.2,2,0
7.96,1777.2,7,1
0.95,991.82,5,1
1.63,259.26,8,1
20.97,918.31,4,1
6.75,146.1,8,1
16.85,3806.77,3,0
27.97,3795.94,4,0
7.87,1049.3,6,1
5.58,812.96,6,1
13.39,1318.05,3,1
5.84,4038.45,4,0
9.1,1724.76,7,1
15.73,353.93,2,0
10.49,2464.17,2,0
8.47,1216.9,6,1
8.08,2713.62,5,1
17.37,364,2,0
21.32,3733.63,4,1
10.81,633.89,2,1
10.3,2092.82,10,1
12.97,1888.55,3,1
2.87,1303.56,10,1
7.41,2477.6,3,1
20.57,1200.14,9,1
16.2,1161.6,5,1
12.67,806.35,4,1
6.73,1743.68,1,0
12.56,1166.36,6,1
7.48,535.5,8,1
7.66,1703.92,8,1
3.76,555.82,1,1
8.39,595.86,5,1
8.45,886.52,9,1
4.84,1368.9,6,1
15.47,1145.13,7,1
18.72,244.81,5,1
10.65,600.19,4,1
13.13,882.74,1,0
15.06,1090.33,8,1
11.91,3985.37,7,0
4.31,1086.76,7,1
15.32,1131.92,3,1
25.15,844.4,4,0
27.07,1297.56,7,1
20.95,2355.67,3,0
25.66,751.73,5,1
12.02,1963.39,6,1
20.8,1367.18,10,1
12.94,1852.7,9,1
6.19,601.95,6,1
3.69,642.12,5,0
7.53,2240.11,4,0
8.36,1816.84,7,1
11.31,756.03,7,1
1.72,2414.43,3,1
20.42,1644.43,6,1
18.96,1375.87,8,1
6.84,3946.02,6,1
1.53,991.45,5,1
13.59,1071.99,5,1
9.91,1711.11,8,1
3.74,878.27,7,1
19.42,270.83,5,0
21.88,767.89,6,1
6.95,1524.03,8,1
17.58,221.35,6,1
24.41,2684.89,6,0
9.48,1026.84,4,1
23.19,1584,3,0
6.69,749.52,7,1
12.29,398.5,8,1
7.55,1881.24,4,1
11.22,1815.95,5,1
9.24,447.79,8,1
4,4742.75,4,0
2.87,695,6,1
19.07,1711.88,3,0
35.53,879.79,2,0
3.31,1654.78,1,1
23.46,2881.03,8,1
17.53,281.15,6,1
5.7,625.19,3,1
10.61,2062.18,3,1
9.36,2330.34,2,1
1.79,716.6,9,1
10.99,797.12,7,1
2.16,983.49,8,1
18.57,3036.12,6,1
20.97,3542.46,3,0
33.54,4020.83,5,0
21.38,750.93,4,1
16.45,2687.7,3,1
10.18,642.53,9,1
3.8,644.74,8,1
27.6,2464.98,6,1
21.85,945.92,5,1
3.72,747.83,2,0
20.26,1290.36,5,1
16.58,309.11,4,1
20.67,1559.84,6,1
8.9,1694.85,4,0
2.23,1496.97,5,1
12.84,84.59,5,0
24.07,795.98,6,1
12.06,368.62,9,1
5.64,387.79,4,1
